outdeg1 indeg1 totaldeg1 outdeg2 indeg2 totaldeg2 totaldeg
3 0 3 1 0 1 4
1 0 1 1 0 1 2
3 0 3 1 0 1 4
20 0 20 1 0 1 21
1 0 1 1 0 1 2
2 0 2 1 0 1 3
2 0 2 1 0 1 3
1 0 1 1 0 1 2
2 0 2 1 0 1 3
1 1 2 1 0 1 3
2 0 2 1 0 1 3
19 1 20 1 0 1 21
1 0 1 1 0 1 2
4 0 4 1 0 1 5
1 0 1 1 0 1 2
18 2 20 1 0 1 21
1 0 1 1 0 1 2
1 0 1 1 0 1 2
17 3 20 1 0 1 21
1 0 1 1 0 1 2
1 0 1 1 0 1 2
16 4 20 1 0 1 21
2 0 2 1 0 1 3
15 5 20 1 0 1 21
1 0 1 1 0 1 2
3 0 3 1 0 1 4
1 0 1 1 0 1 2
1 1 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
14 6 20 1 0 1 21
4 0 4 1 0 1 5
2 1 3 1 0 1 4
3 0 3 1 0 1 4
1 0 1 1 0 1 2
3 0 3 1 0 1 4
13 7 20 1 0 1 21
12 8 20 1 0 1 21
1 2 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
11 9 20 1 0 1 21
2 0 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 2 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
1 0 1 1 0 1 2
10 10 20 1 0 1 21
9 11 20 1 0 1 21
8 12 20 1 0 1 21
2 0 2 1 0 1 3
4 0 4 1 0 1 5
7 13 20 1 0 1 21
1 0 1 1 0 1 2
1 1 2 1 0 1 3
6 14 20 1 0 1 21
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 1 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
5 15 20 1 0 1 21
1 0 1 1 0 1 2
2 1 3 1 0 1 4
4 16 20 1 0 1 21
2 1 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
3 17 20 1 0 1 21
2 18 20 1 0 1 21
1 0 1 1 0 1 2
3 1 4 1 0 1 5
3 0 3 1 0 1 4
1 2 3 1 0 1 4
1 1 2 1 0 1 3
1 1 2 1 0 1 3
2 1 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 2 3 1 0 1 4
1 2 3 1 0 1 4
1 19 20 1 0 1 21
1 1 2 1 0 1 3
1 2 3 1 0 1 4
9 0 9 1 0 1 10
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
1 0 1 2 0 2 3
