outdeg1 indeg1 totaldeg1 outdeg2 indeg2 totaldeg2 totaldeg
1 0 1 1 0 1 2
1 1 2 5 0 5 7
2 0 2 13 1 14 16
1 0 1 18 0 18 19
1 0 1 24 0 24 25
1 0 1 38 0 38 39
1 0 1 41 0 41 42
1 0 1 49 0 49 50
1 0 1 59 0 59 60
2 0 2 60 0 60 62
1 0 1 72 0 72 73
4 0 4 76 0 76 80
1 0 1 77 0 77 78
1 0 1 79 0 79 80
2 0 2 94 0 94 96
2 0 2 97 0 97 99
2 0 2 101 2 103 105
1 0 1 107 0 107 108
1 0 1 111 0 111 112
2 0 2 119 0 119 121
1 0 1 121 0 121 122
4 0 4 125 2 127 131
2 0 2 127 0 127 129
1 0 1 136 0 136 137
2 0 2 138 0 138 140
3 1 4 140 0 140 144
4 0 4 144 0 144 148
9 0 9 143 2 145 154
4 0 4 147 0 147 151
2 0 2 150 1 151 153
4 2 6 148 4 152 158
5 0 5 149 3 152 157
4 0 4 153 1 154 158
2 0 2 155 0 155 157
1 0 1 163 0 163 164
2 0 2 166 0 166 168
2 0 2 169 0 169 171
9 2 11 174 2 176 187
5 1 6 183 5 188 194
5 0 5 189 0 189 194
3 0 3 190 0 190 193
7 0 7 200 0 200 207
6 0 6 228 3 231 237
11 1 12 232 8 240 252
1 0 1 240 0 240 241
1 0 1 246 0 246 247
8 0 8 246 7 253 261
5 0 5 249 9 258 263
9 0 9 258 1 259 268
2 0 2 260 4 264 266
7 1 8 257 10 267 275
3 0 3 267 0 267 270
4 0 4 270 4 274 278
3 0 3 274 0 274 277
6 2 8 267 9 276 284
9 1 10 275 4 279 289
5 0 5 285 0 285 290
3 0 3 274 16 290 293
8 1 9 325 1 326 335
10 4 14 314 13 327 341
7 0 7 334 1 335 342
10 0 10 328 10 338 348
5 0 5 344 0 344 349
8 0 8 338 8 346 354
2 0 2 351 0 351 353
9 0 9 345 7 352 361
13 0 13 348 7 355 368
13 0 13 357 1 358 371
14 0 14 366 5 371 385
4 0 4 371 1 372 376
10 1 11 362 15 377 388
6 0 6 376 2 378 384
10 0 10 361 19 380 390
15 3 18 376 13 389 407
12 1 13 390 5 395 408
10 1 11 393 14 407 418
5 0 5 407 1 408 413
6 0 6 410 0 410 416
8 0 8 410 2 412 420
9 0 9 406 7 413 422
8 0 8 412 2 414 422
12 0 12 404 10 414 426
18 4 22 409 15 424 446
8 0 8 418 7 425 433
3 0 3 429 0 429 432
15 7 22 433 20 453 475
4 0 4 449 4 453 457
6 0 6 452 4 456 462
15 5 20 444 21 465 485
16 0 16 461 5 466 482
10 0 10 459 10 469 479
7 2 9 475 1 476 485
14 0 14 483 2 485 499
5 0 5 484 3 487 492
8 0 8 470 18 488 496
6 0 6 482 6 488 494
9 0 9 485 3 488 497
11 8 19 469 23 492 511
10 0 10 480 14 494 504
10 0 10 488 7 495 505
8 2 10 485 16 501 511
6 1 7 507 2 509 516
10 3 13 483 29 512 525
6 0 6 500 15 515 521
6 0 6 522 1 523 529
6 0 6 511 15 526 532
12 2 14 527 19 546 560
19 0 19 532 15 547 566
6 1 7 559 1 560 567
14 0 14 554 8 562 576
8 0 8 572 1 573 581
15 0 15 565 11 576 591
15 4 19 539 38 577 596
11 0 11 568 10 578 589
13 1 14 574 7 581 595
17 0 17 542 46 588 605
10 1 11 567 27 594 605
13 0 13 585 10 595 608
10 1 11 593 3 596 607
17 1 18 592 7 599 617
13 1 14 597 4 601 615
23 0 23 590 12 602 625
12 0 12 598 4 602 614
9 2 11 601 6 607 618
6 0 6 604 5 609 615
24 2 26 599 12 611 637
13 1 14 596 18 614 628
10 1 11 608 10 618 629
13 6 19 583 37 620 639
12 0 12 616 6 622 634
14 0 14 614 9 623 637
14 0 14 620 4 624 638
25 1 26 611 15 626 652
9 0 9 625 4 629 638
10 0 10 611 19 630 640
10 2 12 617 13 630 642
20 0 20 625 6 631 651
12 0 12 627 5 632 644
16 1 17 607 28 635 652
18 1 19 623 13 636 655
16 1 17 619 20 639 656
19 3 22 605 34 639 661
10 0 10 639 3 642 652
12 1 13 635 7 642 655
17 1 18 626 16 642 660
10 0 10 639 9 648 658
11 0 11 650 0 650 661
21 0 21 637 19 656 677
18 1 19 642 17 659 678
11 0 11 653 7 660 671
23 2 25 639 22 661 686
16 1 17 657 6 663 680
29 2 31 623 42 665 696
8 0 8 649 18 667 675
21 5 26 640 29 669 695
16 1 17 630 42 672 689
18 1 19 647 26 673 692
18 2 20 655 19 674 694
9 1 10 670 8 678 688
27 1 28 656 22 678 706
42 2 44 652 26 678 722
12 2 14 667 12 679 693
17 0 17 667 13 680 697
15 1 16 667 16 683 699
32 2 34 654 31 685 719
24 0 24 658 29 687 711
13 1 14 669 18 687 701
11 0 11 678 11 689 700
17 0 17 679 11 690 707
28 0 28 673 18 691 719
23 1 24 664 30 694 718
28 2 30 651 44 695 725
8 0 8 694 4 698 706
15 3 18 681 17 698 716
21 1 22 668 30 698 720
13 1 14 678 21 699 713
23 2 25 672 29 701 726
19 3 22 689 15 704 726
26 3 29 670 34 704 733
17 1 18 673 33 706 724
18 1 19 690 18 708 727
18 1 19 697 13 710 729
16 2 18 674 37 711 729
16 1 17 708 7 715 732
22 3 25 674 43 717 742
11 0 11 708 10 718 729
16 2 18 680 43 723 741
23 3 26 684 39 723 749
13 0 13 683 42 725 738
23 2 25 691 35 726 751
12 1 13 687 42 729 742
20 2 22 716 15 731 753
