outdeg1 indeg1 totaldeg1 outdeg2 indeg2 totaldeg2 totaldeg
1 0 1 1 0 1 2
217 0 217 1 0 1 218
1 0 1 1 0 1 2
4 0 4 1 0 1 5
3 1 4 1 0 1 5
2 0 2 1 0 1 3
1 1 2 1 0 1 3
6 0 6 1 0 1 7
5 1 6 1 0 1 7
4 2 6 1 0 1 7
3 3 6 1 0 1 7
3 0 3 1 0 1 4
2 0 2 1 0 1 3
6 0 6 1 0 1 7
1 0 1 1 0 1 2
1 1 2 1 0 1 3
1 0 1 1 0 1 2
14 0 14 1 0 1 15
14 1 15 1 0 1 16
15 0 15 1 0 1 16
14 1 15 1 0 1 16
1 0 1 1 0 1 2
32 0 32 1 0 1 33
41 0 41 1 0 1 42
4 0 4 1 0 1 5
3 1 4 1 0 1 5
2 2 4 1 0 1 5
1 3 4 1 0 1 5
2 0 2 1 0 1 3
34 0 34 1 0 1 35
1 0 1 1 0 1 2
3 0 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
1 1 2 1 0 1 3
3 0 3 1 0 1 4
2 1 3 1 0 1 4
1 2 3 1 0 1 4
13 0 13 1 0 1 14
4 0 4 1 0 1 5
3 0 3 1 0 1 4
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 1 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
3 0 3 1 0 1 4
1 0 1 1 0 1 2
2 0 2 1 0 1 3
0 1 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
0 1 1 1 0 1 2
3 0 3 1 0 1 4
1 1 2 1 0 1 3
0 2 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
0 1 1 1 0 1 2
0 1 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
0 1 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
7 0 7 2 0 2 9
6 1 7 2 0 2 9
5 2 7 2 0 2 9
4 3 7 2 0 2 9
7 0 7 2 0 2 9
6 1 7 2 0 2 9
5 2 7 2 0 2 9
8 0 8 2 0 2 10
7 1 8 2 0 2 10
3 4 7 2 0 2 9
2 5 7 2 0 2 9
7 0 7 2 0 2 9
6 1 7 2 0 2 9
5 2 7 2 0 2 9
1 4 5 2 0 2 7
1 4 5 1 1 2 7
2 0 2 2 0 2 4
1 1 2 2 0 2 4
3 0 3 2 0 2 5
2 1 3 2 0 2 5
3 0 3 2 0 2 5
1 0 1 2 0 2 3
2 0 2 2 0 2 4
1 0 1 1 1 2 3
1 0 1 2 0 2 3
13 0 13 2 0 2 15
12 1 13 2 0 2 15
11 2 13 2 0 2 15
10 3 13 2 0 2 15
9 4 13 2 0 2 15
8 5 13 2 0 2 15
7 6 13 2 0 2 15
6 7 13 2 0 2 15
5 8 13 2 0 2 15
1 1 2 2 0 2 4
52 0 52 2 0 2 54
15 0 15 2 0 2 17
5 0 5 2 0 2 7
4 0 4 2 0 2 6
3 0 3 2 0 2 5
2 0 2 2 0 2 4
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
4 0 4 2 0 2 6
1 0 1 2 0 2 3
2 0 2 2 0 2 4
4 0 4 2 0 2 6
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 1 2 2 0 2 4
1 0 1 2 0 2 3
1 0 1 2 0 2 3
2 0 2 1 1 2 4
2 0 2 2 0 2 4
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 1 2 1 1 2 4
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 1 2 1 1 2 4
2 0 2 2 0 2 4
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
0 1 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 1 2 2 0 2 4
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 1 2 1 1 2 4
1 1 2 1 1 2 4
1 0 1 2 0 2 3
1 0 1 1 1 2 3
2 0 2 2 0 2 4
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 1 2 2 0 2 4
1 0 1 2 0 2 3
6 0 6 2 0 2 8
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 2 0 2 3
1 0 1 1 1 2 3
1 0 1 1 1 2 3
3 0 3 3 0 3 6
2 1 3 3 0 3 6
1 2 3 3 0 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
9 0 9 2 1 3 12
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
6 0 6 3 0 3 9
5 1 6 3 0 3 9
4 2 6 3 0 3 9
6 0 6 3 0 3 9
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
2 0 2 3 0 3 5
2 0 2 3 0 3 5
2 0 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
4 0 4 3 0 3 7
0 1 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
2 1 3 3 0 3 6
1 2 3 3 0 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 1 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 0 3 3 0 3 6
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 0 3 3 0 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
2 1 3 2 1 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 0 3 3 0 3 6
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
3 0 3 3 0 3 6
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 0 3 3 0 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 0 3 3 0 3 6
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 2 3 3 0 3 6
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 1 2 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
3 9 12 3 0 3 15
2 10 12 3 0 3 15
1 11 12 3 0 3 15
1 0 1 2 1 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
14 0 14 3 0 3 17
14 0 14 3 0 3 17
0 1 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
8 0 8 3 0 3 11
1 0 1 3 0 3 4
1 0 1 1 2 3 4
1 0 1 3 0 3 4
6 0 6 2 1 3 9
1 0 1 3 0 3 4
3 0 3 3 0 3 6
2 0 2 3 0 3 5
2 0 2 3 0 3 5
1 0 1 3 0 3 4
2 0 2 3 0 3 5
1 0 1 2 1 3 4
2 1 3 3 0 3 6
2 0 2 3 0 3 5
1 0 1 2 1 3 4
4 0 4 3 0 3 7
4 0 4 3 0 3 7
1 0 1 3 0 3 4
1 0 1 1 2 3 4
2 0 2 3 0 3 5
1 1 2 3 0 3 5
1 0 1 2 1 3 4
1 0 1 3 0 3 4
8 0 8 3 0 3 11
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 1 2 2 1 3 5
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 1 2 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 2 1 3 4
1 0 1 1 2 3 4
1 0 1 3 0 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
2 0 2 3 0 3 5
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 1 2 1 2 3 5
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 3 0 3 4
1 0 1 2 1 3 4
1 0 1 1 2 3 4
2 0 2 2 1 3 5
1 0 1 1 2 3 4
1 0 1 1 2 3 4
1 0 1 1 2 3 4
1 0 1 1 2 3 4
1 3 4 4 0 4 8
2 3 5 3 1 4 9
6 0 6 4 0 4 10
2 0 2 4 0 4 6
1 1 2 4 0 4 6
2 0 2 3 1 4 6
1 1 2 3 1 4 6
1 2 3 3 1 4 7
1 0 1 4 0 4 5
2 0 2 4 0 4 6
1 1 2 4 0 4 6
2 0 2 4 0 4 6
1 1 2 4 0 4 6
2 0 2 3 1 4 6
2 0 2 4 0 4 6
2 0 2 3 1 4 6
1 1 2 4 0 4 6
1 1 2 3 1 4 6
3 1 4 4 0 4 8
2 1 3 3 1 4 7
1 0 1 4 0 4 5
1 0 1 3 1 4 5
1 0 1 4 0 4 5
1 0 1 3 1 4 5
3 0 3 3 1 4 7
2 1 3 4 0 4 7
1 2 3 4 0 4 7
1 0 1 4 0 4 5
1 0 1 3 1 4 5
3 2 5 4 0 4 9
2 0 2 4 0 4 6
1 1 2 4 0 4 6
2 0 2 3 1 4 6
1 1 2 3 1 4 6
1 0 1 4 0 4 5
1 0 1 3 1 4 5
1 0 1 4 0 4 5
1 0 1 3 1 4 5
3 1 4 4 0 4 8
1 0 1 3 1 4 5
