outdeg1 indeg1 totaldeg1 outdeg2 indeg2 totaldeg2 totaldeg
2 0 2 1 0 1 3
2 0 2 1 0 1 3
1 1 2 1 0 1 3
1 0 1 1 0 1 2
1 0 1 1 0 1 2
10 0 10 1 0 1 11
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
3 0 3 1 0 1 4
2 1 3 1 0 1 4
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
0 4 4 1 0 1 5
8 0 8 1 0 1 9
3 0 3 1 0 1 4
2 1 3 1 0 1 4
0 2 2 1 0 1 3
7 1 8 1 0 1 9
6 2 8 1 0 1 9
5 3 8 1 0 1 9
4 4 8 1 0 1 9
3 5 8 1 0 1 9
2 6 8 1 0 1 9
1 7 8 1 0 1 9
4 0 4 1 0 1 5
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
2 0 2 1 0 1 3
4 0 4 1 0 1 5
3 1 4 1 0 1 5
2 2 4 1 0 1 5
8 0 8 1 0 1 9
1 0 1 1 0 1 2
3 0 3 1 0 1 4
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
3 0 3 1 0 1 4
2 1 3 1 0 1 4
1 2 3 1 0 1 4
2 0 2 1 0 1 3
1 1 2 1 0 1 3
10 0 10 1 0 1 11
10 1 11 1 0 1 12
10 0 10 1 0 1 11
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
1 0 1 1 0 1 2
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
5 0 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
1 0 1 1 0 1 2
1 0 1 1 0 1 2
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
4 0 4 1 0 1 5
3 1 4 1 0 1 5
2 2 4 1 0 1 5
1 3 4 1 0 1 5
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 0 1 1 0 1 2
21 0 21 1 0 1 22
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
1 0 1 1 0 1 2
1 0 1 1 0 1 2
5 0 5 1 0 1 6
1 0 1 1 0 1 2
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
5 0 5 1 0 1 6
4 1 5 1 0 1 6
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
6 0 6 1 0 1 7
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
10 0 10 1 0 1 11
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
1 0 1 1 0 1 2
10 0 10 1 0 1 11
5 0 5 1 0 1 6
4 1 5 1 0 1 6
3 2 5 1 0 1 6
2 3 5 1 0 1 6
1 4 5 1 0 1 6
49 0 49 1 0 1 50
48 1 49 1 0 1 50
47 2 49 1 0 1 50
46 3 49 1 0 1 50
45 4 49 1 0 1 50
44 5 49 1 0 1 50
43 6 49 1 0 1 50
42 7 49 1 0 1 50
41 8 49 1 0 1 50
40 9 49 1 0 1 50
39 10 49 1 0 1 50
38 11 49 1 0 1 50
37 12 49 1 0 1 50
36 13 49 1 0 1 50
35 14 49 1 0 1 50
34 15 49 1 0 1 50
33 16 49 1 0 1 50
32 17 49 1 0 1 50
31 18 49 1 0 1 50
30 19 49 1 0 1 50
29 20 49 1 0 1 50
28 21 49 1 0 1 50
27 22 49 1 0 1 50
26 23 49 1 0 1 50
25 24 49 1 0 1 50
24 25 49 1 0 1 50
23 26 49 1 0 1 50
22 27 49 1 0 1 50
21 28 49 1 0 1 50
20 29 49 1 0 1 50
19 30 49 1 0 1 50
18 31 49 1 0 1 50
17 32 49 1 0 1 50
16 33 49 1 0 1 50
15 34 49 1 0 1 50
14 35 49 1 0 1 50
13 36 49 1 0 1 50
12 37 49 1 0 1 50
11 38 49 1 0 1 50
10 39 49 1 0 1 50
9 40 49 1 0 1 50
8 41 49 1 0 1 50
7 42 49 1 0 1 50
6 43 49 1 0 1 50
5 44 49 1 0 1 50
4 45 49 1 0 1 50
3 46 49 1 0 1 50
2 47 49 1 0 1 50
1 48 49 1 0 1 50
10 0 10 1 0 1 11
10 0 10 1 0 1 11
10 0 10 1 0 1 11
1 0 1 1 0 1 2
1 0 1 1 0 1 2
10 0 10 1 0 1 11
10 0 10 1 0 1 11
1 0 1 1 0 1 2
10 0 10 1 0 1 11
2 0 2 1 0 1 3
1 1 2 1 0 1 3
1 0 1 1 0 1 2
10 0 10 1 0 1 11
3 0 3 1 0 1 4
2 1 3 1 0 1 4
1 2 3 1 0 1 4
10 0 10 1 0 1 11
10 0 10 1 0 1 11
